Gene.ID	name	Row.names
21ur.type2-2259	21ur.type2-2259	21ur.type2-2259
21ur.type2-226	21ur.type2-226	21ur.type2-226
21ur.type2-2266	21ur.type2-2266	21ur.type2-2266
21ur.type2-2269	21ur.type2-2269	21ur.type2-2269
21ur.type2-2270	21ur.type2-2270	21ur.type2-2270
21ur.type2-2272	21ur.type2-2272	21ur.type2-2272
21ur.type2-2284	21ur.type2-2284	21ur.type2-2284
21ur.type2-2285	21ur.type2-2285	21ur.type2-2285
21ur.type2-2286	21ur.type2-2286	21ur.type2-2286
21ur.type2-2289	21ur.type2-2289	21ur.type2-2289
21ur.type2-2294	21ur.type2-2294	21ur.type2-2294
21ur.type2-230	21ur.type2-230	21ur.type2-230
21ur.type2-2300	21ur.type2-2300	21ur.type2-2300
21ur.type2-2302	21ur.type2-2302	21ur.type2-2302
21ur.type2-2306	21ur.type2-2306	21ur.type2-2306
21ur.type2-2307	21ur.type2-2307	21ur.type2-2307
21ur.type2-2312	21ur.type2-2312	21ur.type2-2312
21ur.type2-232	21ur.type2-232	21ur.type2-232
21ur.type2-2331	21ur.type2-2331	21ur.type2-2331
21ur.type2-2336	21ur.type2-2336	21ur.type2-2336
21ur.type2-234	21ur.type2-234	21ur.type2-234
21ur.type2-2340	21ur.type2-2340	21ur.type2-2340
21ur.type2-2343	21ur.type2-2343	21ur.type2-2343
21ur.type2-2345	21ur.type2-2345	21ur.type2-2345
21ur.type2-2351	21ur.type2-2351	21ur.type2-2351
21ur.type2-236	21ur.type2-236	21ur.type2-236
21ur.type2-237	21ur.type2-237	21ur.type2-237
21ur.type2-2371	21ur.type2-2371	21ur.type2-2371
21ur.type2-238	21ur.type2-238	21ur.type2-238
21ur.type2-2384	21ur.type2-2384	21ur.type2-2384
21ur.type2-24	21ur.type2-24	21ur.type2-24
21ur.type2-2402	21ur.type2-2402	21ur.type2-2402
21ur.type2-2406	21ur.type2-2406	21ur.type2-2406
21ur.type2-2414	21ur.type2-2414	21ur.type2-2414
21ur.type2-2421	21ur.type2-2421	21ur.type2-2421
21ur.type2-2437	21ur.type2-2437	21ur.type2-2437
21ur.type2-2452	21ur.type2-2452	21ur.type2-2452
21ur.type2-2458	21ur.type2-2458	21ur.type2-2458
21ur.type2-246	21ur.type2-246	21ur.type2-246
21ur.type2-2462	21ur.type2-2462	21ur.type2-2462
21ur.type2-2465	21ur.type2-2465	21ur.type2-2465
21ur.type2-2471	21ur.type2-2471	21ur.type2-2471
21ur.type2-2475	21ur.type2-2475	21ur.type2-2475
21ur.type2-2476	21ur.type2-2476	21ur.type2-2476
21ur.type2-2478	21ur.type2-2478	21ur.type2-2478
21ur.type2-2479	21ur.type2-2479	21ur.type2-2479
21ur.type2-2482	21ur.type2-2482	21ur.type2-2482
21ur.type2-2483	21ur.type2-2483	21ur.type2-2483
21ur.type2-2485	21ur.type2-2485	21ur.type2-2485
21ur.type2-2486	21ur.type2-2486	21ur.type2-2486
